month,region,????,?????,????,???????,????,?????,????,???????,????
2017?6?,??,"811,611",3.8,"2,010,881,948",-19.9,"1,616,440",40.9,"6,973,997,581",53.0,"-804,829"
2017?7?,??,"955,027",4.2,"2,309,307,965",-20.0,"1,914,607",47.8,"8,309,552,261",57.2,"-959,580"
2017?8?,??,"1,105,056",5.9,"2,577,975,906",-21.2,"2,229,607",54.9,"9,748,583,629",61.8,"-1,124,551"
2017?9?,??,"1,297,126",8.4,"3,021,804,155",-21.7,"2,541,767",56.9,"11,363,202,507",64.4,"-1,244,641"
2017?10?,??,"1,440,459",6.6,"3,348,019,835",-23.2,"2,870,552",54.8,"12,972,945,276",65.8,"-1,430,093"
2017?11?,??,"1,615,236",7.7,"3,649,363,275",-25.5,"3,165,925",53.1,"14,065,808,625",61.4,"-1,550,689"
2017?12?,??,"1,782,759",7.4,"3,818,685,828",-29.9,"3,461,518",48.2,"15,217,270,236",52.6,"-1,678,759"
2016?,??,"1,659,803",-11.8,"5,450,889,094",-30.6,"2,335,673",-25.9,"9,970,957,328",12.3,"-675,870"
2016?1?,??,"117,514",-22.8,"455,396,619",-29.8,"216,479",-47.9,"833,816,704",-15.2,"-98,965"
2016?2?,??,"226,548",-24.4,"812,589,647",-42.2,"414,184",-47.4,"1,515,584,569",-6.0,"-187,636"
2016?3?,??,"376,774",-21.4,"1,416,116,451",-31.4,"646,896",-41.2,"2,431,375,499",-1.2,"-270,122"
2016?4?,??,"500,306",-23.8,"1,827,321,209",-34.1,"815,541",-38.7,"3,123,204,504",0.1,"-315,235"
2016?5?,??,"635,706",-21.6,"2,177,731,947",-37.7,"993,941",-34.7,"3,894,977,892",3.7,"-358,235"
2016?6?,??,"781,863",-20.9,"2,509,674,178",-40.7,"1,146,964",-33.6,"4,556,716,981",3.1,"-365,101"
2016?7?,??,"916,278",-19.8,"2,885,380,161",-42.0,"1,295,012",-32.8,"5,285,560,312",3.5,"-378,734"
2016?8?,??,"1,043,764",-18.9,"3,271,312,409",-42.5,"1,439,577",-31.8,"6,024,911,322",5.0,"-395,813"
2016?9?,??,"1,196,882",-16.7,"3,857,274,591",-37.8,"1,620,376",-33.3,"6,913,823,367",3.2,"-423,494"
2016?10?,??,"1,351,392",-15.5,"4,357,768,988",-35.5,"1,853,799",-29.0,"7,823,234,361",7.7,"-502,407"
2016?11?,??,"1,499,271",-13.6,"4,899,760,421",-33.0,"2,067,347",-29.5,"8,716,459,675",6.4,"-568,076"
2016?12?,??,"1,659,803",-11.8,"5,450,889,094",-30.6,"2,335,673",-25.9,"9,970,957,328",12.3,"-675,870"
2015?,??,"1,881,290",-9.1,"7,849,400,377",-21.3,"3,152,194",10.1,"8,879,918,880",16.4,"-1,270,904"
2015?1?,??,"152,283",-7.1,"648,383,883",-23.0,"415,247",204.9,"983,118,332",97.1,"-262,964"
2015?2?,??,"299,501",-5.8,"1,406,049,094",-8.7,"787,006",200.9,"1,612,376,276",62.5,"-487,505"
2015?3?,??,"479,656",-2.6,"2,064,045,308",-11.1,"1,099,624",192.2,"2,460,429,350",83.9,"-619,968"
2015?4?,??,"656,455",-2.2,"2,770,860,518",-13.1,"1,329,632",152.7,"3,119,452,502",50.1,"-673,177"
2015?5?,??,"810,993",-3.7,"3,496,962,603",-8.0,"1,523,189",133.5,"3,757,520,658",45.7,"-712,196"
2015?6?,??,"988,081",-3.3,"4,234,253,527",-10.2,"1,726,875",106.6,"4,418,837,771",41.5,"-738,794"
2015?7?,??,"1,141,927",-4.8,"4,977,485,969",-9.8,"1,927,286",55.5,"5,105,957,636",22.9,"-785,359"
2015?8?,??,"1,286,924",-4.5,"5,685,481,569",-10.3,"2,110,985",39.5,"5,736,209,938",19.3,"-824,061"
2015?9?,??,"1,436,892",-5.5,"6,197,047,744",-13.9,"2,430,311",37.4,"6,700,676,035",20.1,"-993,419"
2015?10?,??,"1,600,184",-7.0,"6,756,270,267",-17.7,"2,609,847",26.2,"7,263,443,800",16.4,"-1,009,663"
2015?11?,??,"1,735,528",-7.9,"7,309,245,411",-19.4,"2,934,176",19.8,"8,191,653,352",19.1,"-1,198,648"
2015?12?,??,"1,881,290",-9.1,"7,849,400,377",-21.3,"3,152,194",10.1,"8,879,918,880",16.4,"-1,270,904"
2014?,??,"2,069,748",-4.8,"9,978,207,693",2.7,"2,863,198",103.0,"7,626,414,788",66.9,"-793,450"
2014?1?,??,"163,972",-8.1,"841,752,684",-8.4,"136,193",1.6,"498,780,395",22.9,"27,779"
2014?2?,??,"317,775",-9.1,"1,539,528,963",-9.8,"261,524",11.1,"991,933,081",39.0,"56,251"
2014?3?,??,"492,542",-11.8,"2,323,065,360",-6.6,"376,291",8.7,"1,337,936,109",34.0,"116,251"
2014?4?,??,"671,197",-7.4,"3,188,831,063",-0.9,"526,137",6.9,"2,078,191,338",39.8,"145,060"
2014?5?,??,"841,846",-9.9,"3,802,528,692",-6.3,"652,361",5.1,"2,578,142,984",40.8,"189,485"
2014?6?,??,"1,021,301",-7.9,"4,715,681,500",1.6,"836,032",15.9,"3,123,152,475",47.3,"185,269"
2014?7?,??,"1,200,092",-7.3,"5,516,031,479",2.3,"1,239,295",46.6,"4,155,855,505",57.5,"-39,203"
2014?8?,??,"1,347,344",-7.6,"6,341,394,756",2.3,"1,513,525",59.7,"4,809,595,019",64.3,"-166,181"
2014?9?,??,"1,519,887",-7.1,"7,201,082,507",2.6,"1,768,938",68.7,"5,580,840,805",74.7,"-249,051"
2014?10?,??,"1,720,710",-5.9,"8,212,644,257",4.0,"2,067,308",76.6,"6,242,122,058",74.3,"-346,598"
2014?11?,??,"1,883,765",-5.5,"9,063,939,753",4.1,"2,448,749",87.9,"6,876,556,115",65.7,"-564,984"
2014?12?,??,"2,069,748",-4.8,"9,978,207,693",2.7,"2,863,198",103.0,"7,626,414,788",66.9,"-793,450"
2013?,??,"2,173,285",1.4,"9,713,900,231",4.2,"1,410,623",1.8,"4,569,647,937",8.6,"762,662"
2013?1?,??,"178,481",40.1,"919,363,566",21.5,"134,009",27.0,"405,811,744",60.6,"44,472"
2013?2?,??,"349,562",20.5,"1,706,887,864",11.9,"235,418",6.0,"713,562,394",13.5,"114,144"
2013?3?,??,"558,696",20.3,"2,486,746,054",13.6,"346,111",3.2,"998,282,763",5.3,"212,585"
2013?4?,??,"724,455",12.4,"3,219,203,114",5.6,"492,313",9.1,"1,486,774,883",16.0,"232,142"
2013?5?,??,"934,334",13.6,"4,059,484,544",1.7,"620,889",5.9,"1,831,523,517",8.2,"313,445"
2013?6?,??,"1,108,367",10.9,"4,640,416,487",-5.4,"721,038",2.5,"2,119,922,696",3.3,"387,329"
2013?7?,??,"1,294,673",10.1,"5,392,482,954",-5.6,"845,454",2.1,"2,638,271,632",3.4,"449,219"
2013?8?,??,"1,457,783",6.9,"6,199,655,255",-2.5,"947,997",-0.6,"2,927,441,111",-1.4,"509,786"
2013?9?,??,"1,636,763",4.9,"7,015,186,045",-3.3,"1,048,544",-1.0,"3,194,921,213",-3.7,"588,219"
2013?10?,??,"1,828,177",4.9,"7,900,013,574",-1.2,"1,170,397",0.7,"3,581,768,453",0.3,"657,780"
2013?11?,??,"1,993,542",2.2,"8,708,981,504",-0.3,"1,303,514",1.9,"4,149,288,506",6.2,"690,028"
2013?12?,??,"2,173,285",1.4,"9,713,900,231",4.2,"1,410,623",1.8,"4,569,647,937",8.6,"762,662"
