? ?? ?????  ???????(2020=100) [2020=100],,,,,,,
??-?????,??,????(???),????? ????(???),????? ????(???),????(????),????? ????(????),????? ????(????)
??,2023.10 ?,109,104.1,116.7,109,104.8,117
??,2023.11 ?,114.8,109.4,116,111,106.2,116
??,2023.12 ?,116,113.2,108.7,109.8,108.3,112.4
??,2024.01 ?,108.2,102.9,112.1,107.5,103.4,111.5
??,2024.02 ?,99.4,94.9,113.2,111,105,111.7
??,2024.03 ?,112.1,108.2,109,108.5,103.8,110
??,2024.04 ?,111.5,105.2,111.2,111.3,106.3,110.7
??,2024.05 ?,113.9,107.2,112.1,110.9,105.4,111.2
??,2024.06 ?,113.3,107.6,107.3,110.8,106.8,109.5
??,2024.07 ?,109.2,101.5,111.7,107.1,101.1,109.8
??,2024.08 ?,109.9,103,114.1,111.6,106.1,111.3
??,2024.09 ?,108.4,105.2,108.3,111.7,107,109.6
??,2024.10 ?,116.2,106.9,111.4,112.7,104.6,111.6
??,2024.11 ?,114.7,105.9,111.5,110,102.5,111.8
??,2024.12 ?,121.7,115.3,105.7,114.4,109.7,109
??,2025.01 ?,102.8,94.5,109.7,110.9,103.1,108.5
??,2025.02 ?,105.9,99.7,107.4,111.5,104.9,106.6
??,2025.03 ?,117.4,109,102.8,115,105.9,104
??,2025.04 ?,117.3,107.8,104.5,114,106.8,104
??,2002.01 ?,117.501,108.293,32.287,,,
??,2002.02 ?,106.115,97.933,28.425,,,
??,2002.03 ?,122.538,114.367,27.835,,,
??,2002.04 ?,127.344,114.982,29.122,,,
??,2002.05 ?,129.691,117.068,30.655,,,
??,2002.06 ?,120.21,110.089,31.994,,,
??,2002.07 ?,128.274,114.896,30.926,,,
??,2002.08 ?,126.372,116.542,32.78,,,
??,2002.09 ?,128.116,120.907,31.939,,,
??,2002.10 ?,140.606,129.989,31.156,,,
??,2002.11 ?,133.532,120.996,31.817,,,
??,2002.12 ?,131.088,124.193,29.221,,,
??,2003.01 ?,124.769,114.563,30.344,,,
??,2003.02 ?,108.568,104.367,29.507,,,
??,2003.03 ?,130.573,118.522,31.347,,,
??,2003.04 ?,129.117,113.968,34.75,,,
??,2003.05 ?,126.959,113.821,35.584,,,
??,2003.06 ?,124.474,112.359,35.252,,,
??,2003.07 ?,128.791,117.877,36.304,,,
??,2003.08 ?,128.175,119.54,36.766,,,
??,2003.09 ?,131.447,120.843,36.964,,,
??,2003.10 ?,146.985,132.047,37.037,,,
??,2003.11 ?,139.106,126.41,38.357,,,
??,2003.12 ?,136.153,126.485,39.696,,,
??,2004.01 ?,122.488,112.368,40.832,,,
??,2004.02 ?,125.179,116.387,40.486,,,
??,2004.03 ?,138.391,126.644,39.813,,,
??,2004.04 ?,134.63,121.809,35.411,,,
??,2004.05 ?,134.502,119.894,37.69,,,
??,2004.06 ?,130.932,116.406,38.94,,,
??,2004.07 ?,127.654,115.17,41.045,,,
??,2004.08 ?,126.549,114.902,42.138,,,
??,2004.09 ?,135.222,122.672,42.183,,,
??,2004.10 ?,143.821,130.71,41.572,,,
??,2004.11 ?,138.943,126.708,42.518,,,
??,2004.12 ?,133.14,122.889,43.575,,,
??,2005.01 ?,116.114,102.857,41.505,,,
??,2005.02 ?,93.135,82.869,38.09,,,
??,2005.03 ?,120.977,106.748,38.659,,,
??,2005.04 ?,119.762,106.208,38.497,,,
??,2005.05 ?,115.141,100.589,39.919,,,
??,2005.06 ?,111.736,102.318,40.407,,,
??,2005.07 ?,115.627,102.318,40.854,,,
??,2005.08 ?,116.965,104.155,40.895,,,
??,2005.09 ?,134.23,121.009,41.301,,,
??,2005.10 ?,135.202,121.225,40.976,,,
??,2005.11 ?,140.674,123.926,42.684,,,
??,2005.12 ?,139.701,122.414,44.065,,,
??,2006.01 ?,122.801,108.26,44.228,,,
??,2006.02 ?,116.478,104.046,44.717,,,
??,2006.03 ?,135.688,120.361,45.732,,,
??,2006.04 ?,127.664,112.906,46.83,,,
??,2006.05 ?,127.3,113.77,48.009,,,
??,2006.06 ?,122.801,111.394,48.172,,,
??,2006.07 ?,120.247,106.531,49.473,,,
??,2006.08 ?,124.016,112.906,50.895,,,
??,2006.09 ?,152.102,135.703,52.724,,,
??,2006.10 ?,149.428,133.11,52.196,,,
??,2006.11 ?,156.115,140.673,54.635,,,
??,2006.12 ?,158.911,139.161,55.326,,,
??,2007.01 ?,148.577,118.308,55.651,,,
??,2007.02 ?,123.165,107.936,57.439,,,
??,2007.03 ?,136.905,129.113,56.221,,,
??,2007.04 ?,149.67,122.522,59.106,,,
??,2007.05 ?,136.419,131.921,57.806,,,
??,2007.06 ?,126.206,113.878,57.358,,,
??,2007.07 ?,128.028,113.553,60.895,,,
??,2007.08 ?,134.351,123.71,62.115,,,
??,2007.09 ?,133.743,128.356,60.529,,,
??,2007.10 ?,153.683,139.052,61.749,,,
??,2007.11 ?,142.741,132.137,63.822,,,
??,2007.12 ?,139.701,126.627,63.091,,,
??,2008.01 ?,141.89,127.707,72.521,,,
??,2008.02 ?,125.11,112.149,72.643,,,
??,2008.03 ?,139.701,128.032,71.912,,,
??,2008.04 ?,125.841,113.23,72.724,,,
??,2008.05 ?,124.504,113.122,71.668,,,
??,2008.06 ?,113.56,106.208,72.033,,,
??,2008.07 ?,127.056,116.795,73.416,,,
??,2008.08 ?,128.515,116.688,74.188,,,
??,2008.09 ?,139.944,125.871,75.895,,,
??,2008.10 ?,139.093,128.896,74.066,,,
??,2008.11 ?,119.153,109.124,75.245,,,
??,2008.12 ?,116.357,103.83,72.44,,,
??,2009.01 ?,103.59,93.89,67.602,,,
??,2009.02 ?,98.849,89.244,65.935,,,
??,2009.03 ?,109.669,103.939,63.253,,,
??,2009.04 ?,121.828,101.129,64.35,,,
??,2009.05 ?,101.888,90.54,64.228,,,
??,2009.06 ?,105.049,103.29,61.262,,,
??,2009.07 ?,111.372,95.835,61.424,,,
??,2009.08 ?,112.344,99.832,61.505,,,
??,2009.09 ?,124.989,111.61,64.473,,,
??,2009.10 ?,123.165,109.556,63.822,,,
??,2009.11 ?,116.357,103.074,63.822,,,
??,2009.12 ?,128.515,117.768,64.676,,,
??,2010.01 ?,113.099,102.701,65.702,,,
??,2010.02 ?,94.527,89.796,62.248,,,
??,2010.03 ?,118.219,108.991,62.31,,,
??,2010.04 ?,116.909,106.497,61.431,,,
